Name,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,HOF
John Brodie,201,158,74-76-8,2469,4491,55.0,31548,214,4.8,224,5.0,,,83,7.0,5.73,12.8,157.0,72.3,207.0,1855.0,4.66,6.32,5.19,21,22,129.0,0
Norm Snead,178.0,159.0,52-100-7,2276.0,4353.0,52.3,30797.0,196.0,4.5,257.0,5.9,,,94.0,7.1,5.32,13.5,173.0,65.5,350.0,2735.0,7.44,5.97,4.34,14.0,19.0,114.0,0
Randall Cunningham,161,135,82-52-1,2429,4289,56.6,29979,207,4.8,134,3.1,1387,40.8,95,7.0,6.55,12.3,186.2,81.5,484,3537,10.14,5.54,5.14,19,24,137,0
Joe Ferguson,186.0,171.0,79-92-0,2369.0,4519.0,52.4,29817.0,196.0,4.3,209.0,4.6,974.0,40.7,92.0,6.6,5.38,12.6,160.3,68.4,312.0,2710.0,6.46,5.61,4.48,20.0,24.0,106.0,0
Jon Kitna,141.0,124.0,50-74-0,2677.0,4442.0,60.3,29745.0,169.0,3.8,165.0,3.7,1475.0,45.0,91.0,6.7,5.79,11.1,211.0,77.4,323.0,1987.0,6.78,5.83,4.98,18.0,22.0,90.0,0
Roman Gabriel,183.0,157.0,86-64-7,2366.0,4498.0,52.6,29444.0,201.0,4.5,149.0,3.3,,,93.0,6.5,5.95,12.4,160.9,74.3,360.0,2711.0,7.41,5.5,4.95,16.0,15.0,130.0,0
Jake Plummer,143.0,136.0,69-67-0,2484.0,4350.0,57.1,29253.0,161.0,3.7,161.0,3.7,1409.0,42.6,85.0,6.7,5.8,11.8,204.6,74.6,284.0,1735.0,6.13,5.94,5.07,20.0,30.0,92.0,0
Brad Johnson,177.0,125.0,72-53-0,2668.0,4326.0,61.7,29054.0,166.0,3.8,122.0,2.8,1405.0,43.9,82.0,6.7,6.21,10.9,164.1,82.5,251.0,1616.0,5.48,5.99,5.52,14.0,27.0,93.0,0
Rich Gannon,157,132,76-56-0,2533,4206,60.2,28743,180,4.3,104,2.5,1425,45.0,84,6.8,6.58,11.3,183.1,84.7,302,1689,6.70,6.00,5.76,16,20,118,0
Len Dawson,211.0,159.0,94-57-8,2136.0,3741.0,57.1,28711.0,239.0,6.4,183.0,4.9,,,92.0,7.7,6.75,13.4,136.1,82.6,376.0,3428.0,9.17,6.14,5.33,15.0,16.0,143.0,1
Chris Chandler,180.0,152.0,67-85-0,2328.0,4005.0,58.1,28484.0,170.0,4.2,146.0,3.6,1326.0,42.6,94.0,7.1,6.32,12.2,158.2,79.1,380.0,2590.0,8.67,5.91,5.18,10.0,15.0,103.0,0
Trent Green,120,113,56-57-0,2266,3740,60.6,28475,162,4.3,114,3.0,1372,45.9,99,7.6,7.11,12.6,237.3,86.0,259,1621,6.48,6.72,6.24,15,19,110,0
Ron Jaworski,188.0,143.0,73-69-1,2187.0,4117.0,53.1,28190.0,179.0,4.3,164.0,4.0,1202.0,39.9,99.0,6.8,5.92,12.9,149.9,72.8,363.0,2826.0,8.1,5.66,4.81,17.0,23.0,107.0,0
Terry Bradshaw,168,158,107-51-0,2025,3901,51.9,27989,212,5.4,210,5.4,685.0,44.2,90,7.2,5.84,13.8,166.6,70.9,307,2694,7.3,6.01,4.77,15,23,140,1
Ken Stabler,184.0,146.0,96-49-1,2270.0,3793.0,59.8,27938.0,194.0,5.1,222.0,5.9,755.0,44.4,88.0,7.4,5.75,12.3,151.8,75.3,281.0,2514.0,6.9,6.24,4.74,16.0,23.0,118.0,1
Craig Morton,207,144,81-62-1,2053,3786,54.2,27908,183,4.8,187,4.9,469,42.8,95,7.4,6.12,13.6,134.8,73.5,405,3040,9.66,5.93,4.80,12,21,118,0
Joe Namath,140.0,129.0,62-63-4,1886.0,3762.0,50.1,27663.0,173.0,4.6,220.0,5.8,,,91.0,7.4,5.64,14.7,197.6,65.5,170.0,1621.0,4.32,6.62,4.99,15.0,15.0,115.0,1
Jeff George,131.0,124.0,46-78-0,2298.0,3967.0,57.9,27602.0,154.0,3.9,113.0,2.8,1290.0,42.5,85.0,7.0,6.45,12.0,210.7,80.4,358.0,2691.0,8.28,5.76,5.3,8.0,17.0,79.0,0
George Blanda,340,106,53-50-1,1911,4007,47.7,26920,236,5.9,277,6.9,,,95,6.7,4.79,14.1,79.2,60.6,88,1188,2.83,6.28,4.72,17,17,128,1
Steve Grogan,149,135,75-60-0,1879,3593,52.3,26886,182,5.1,208,5.8,933.0,42.4,76,7.5,5.89,14.3,180.4,69.6,247,1986,6.43,6.48,4.99,13,20,117,0
Bobby Layne,175.0,145.0,80-48-4,1814.0,3700.0,49.0,26768.0,196.0,5.3,243.0,6.6,,,97.0,7.2,5.34,14.8,153.0,63.4,36.0,1860.0,5.74,6.67,4.44,18.0,19.0,21.0,1
Jim Harbaugh,177.0,140.0,66-74-0,2305.0,3918.0,58.8,26288.0,129.0,3.3,117.0,3.0,1259.0,42.4,85.0,6.7,6.02,11.4,148.5,77.6,361.0,2132.0,8.44,5.65,5.02,15.0,19.0,102.0,0
Jim Plunkett,157.0,144.0,72-72-0,1943.0,3701.0,52.5,25882.0,164.0,4.4,198.0,5.3,573.0,43.8,99.0,7.0,5.47,13.3,164.9,67.5,380.0,3279.0,9.31,5.54,4.16,18.0,22.0,108.0,0
Jeff Garcia,125.0,116.0,58-58-0,2264.0,3676.0,61.6,25537.0,161.0,4.4,83.0,2.3,1239.0,46.2,99.0,6.9,6.81,11.3,204.3,87.5,181.0,947.0,4.69,6.38,6.24,11.0,17.0,104.0,0
