Player,PB,All-Pro,MVP,SB_Wins,Yds,From,To,Age_Start,Age_End,GS,Cmp,Att,Inc,Cmp%,Yds.1,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds.2,Sk%,Y/A,AY/A,ANY/A,Y/C,Y/G,Succ%,W,L,T,4QC,GWD,MVP,SB_Wins,P_Yds,P_G,P_GS,P_Cmp,P_Att,P_Inc,P_Cmp%,P_Yds.1,P_TD,P_Int,P_Pick6,P_TD%,P_Int%,P_Rate,P_Sk,P_Yds.2,P_Sk%,P_Y/A,P_AY/A,P_ANY/A,P_Y/C,P_Y/G,P_Succ%,P_W,P_L,P_4QC,P_GWD,HOF
Drew Brees,13,1,0,1,80358,2001,2020,22,41,286,7142,10551,3409,67.7,80358,571,243,27,5.4,2.3,98.7,420,2991,3.83,7.6,7.66,7.1,11.3,280,51.2,172,114,0,36,53,0,1,5366,18,18,481,721,240,66.7,5366,37,15,0,5.1,2.1,97.1,29,206,3.87,7.4,7.53,6.97,11.2,298.1,52.3,9,9,2,3,1
Peyton Manning,14,7,5,2,71940,1998,2015,22,39,265,6125,9380,3255,65.3,71940,539,251,27,5.7,2.7,96.5,303,1953,3.13,7.7,7.61,7.17,11.7,270.5,51.4,186,79,0,43,54,5,2,7339,27,27,649,1027,378,63.2,7339,40,25,4,3.9,2.4,87.4,40,298,3.75,7.1,6.83,6.29,11.3,271.8,49.8,14,13,2,2,1
Brett Favre,11,3,3,1,71838,1991,2010,22,41,298,6300,10169,3869,62,71838,508,336,32,5,3.3,86,525,3487,4.91,7.1,6.58,5.93,11.4,237.9,46.9,186,112,0,28,43,3,1,5855,24,24,481,791,310,60.8,5855,44,30,4,5.6,3.8,86.3,36,234,4.35,7.4,6.81,6.23,12.2,244,46.2,13,11,2,2,1
Dan Marino,9,3,1,0,61361,1983,1999,22,38,240,4967,8358,3391,59.4,61361,420,252,28,5,3,86.4,270,1930,3.13,7.3,6.99,6.55,12.4,253.6,48.5,147,93,0,33,47,1,0,4510,18,18,385,687,302,56,4510,32,24,1,4.7,3.5,77.1,22,141,3.1,6.6,5.92,5.54,11.7,250.6,45,8,10,3,4,1
Eli Manning,4,0,0,2,57023,2004,2019,23,38,234,4895,8119,3224,60.3,57023,366,244,22,4.5,3,84.1,411,2870,4.82,7,6.57,5.92,11.6,241.6,45.2,117,117,0,27,37,0,2,2815,12,12,242,400,158,60.5,2815,18,9,0,4.5,2.3,87.4,27,155,6.32,7,6.93,6.12,11.6,234.6,45.2,8,4,4,5,0
John Elway,9,0,1,2,51475,1983,1998,23,38,231,4123,7250,3127,56.9,51475,300,226,18,4.1,3.1,79.9,516,3785,6.64,7.1,6.52,5.6,12.5,220,43.1,148,82,1,31,40,1,2,4964,22,21,355,651,296,54.5,4964,27,21,1,4.1,3.2,79.7,39,318,5.65,7.6,7,6.15,14,225.6,43,14,7,4,6,1
Warren Moon,9,0,0,0,49325,1984,2000,28,44,203,3988,6823,2835,58.4,49325,291,233,16,4.3,3.4,80.9,458,3415,6.29,7.2,6.55,5.66,12.4,237.1,46.1,102,101,0,25,35,0,0,2870,10,10,259,403,144,64.3,2870,17,14,0,4.2,3.5,84.9,24,178,5.62,7.1,6.4,5.63,11.1,287,51.3,3,7,1,2,1
Fran Tarkenton,9,1,1,0,47003,1961,1978,21,38,239,3686,6467,2781,57,47003,342,266,12,5.3,4.1,80.4,570,5207,8.1,7.3,6.47,5.21,12.8,191.1,43.9,124,109,6,29,33,1,0,1803,11,11,149,292,143,51,1803,11,17,1,3.8,5.8,58.6,20,155,6.41,6.2,4.31,3.54,12.1,163.9,36.8,6,5,1,1,1
Carson Palmer,3,0,0,0,46247,2004,2017,25,38,181,3941,6307,2366,62.5,46247,294,187,22,4.7,3,87.9,340,2364,5.12,7.3,6.93,6.22,11.7,254.1,47.4,92,88,1,22,35,0,0,796,4,4,67,118,51,56.8,796,5,7,1,4.2,5.9,66.9,9,65,7.09,6.7,4.92,4.06,11.9,199,44.1,1,3,1,1,0
Vinny Testaverde,2,0,0,0,46233,1987,2007,24,44,214,3787,6701,2914,56.5,46233,275,267,23,4.1,4,75,417,2992,5.86,6.9,5.93,5.16,12.2,198.4,42.8,90,123,1,29,33,0,0,1320,7,5,114,189,75,60.3,1320,6,5,0,3.2,2.6,81,7,36,3.57,7,6.43,6.02,11.6,188.6,45.4,2,3,0,0,0
Drew Bledsoe,4,0,0,0,44611,1993,2006,21,34,193,3839,6717,2878,57.2,44611,251,206,15,3.7,3.1,77.1,467,3135,6.5,6.6,6.01,5.18,11.6,230,43.1,98,95,0,24,31,0,0,1335,7,6,129,252,123,51.2,1335,6,12,0,2.4,4.8,54.9,17,131,6.32,5.3,3.63,2.91,10.3,190.7,37.2,3,3,0,0,0
Dan Fouts,6,2,0,0,43040,1973,1987,22,36,171,3297,5604,2307,58.8,43040,254,242,12,4.5,4.3,80.2,319,2304,5.39,7.7,6.64,5.9,13.1,237.8,49.3,86,84,1,21,23,0,0,2125,7,7,159,286,127,55.6,2125,12,16,0,4.2,5.6,70,13,95,4.35,7.4,5.75,5.18,13.4,303.6,46.2,3,4,3,3,1
Kerry Collins,2,0,0,0,40922,1995,2011,23,39,180,3487,6261,2774,55.7,40922,208,196,20,3.3,3.1,73.8,337,2230,5.11,6.5,5.79,5.16,11.7,206.7,42.7,81,99,0,21,30,0,0,1556,7,7,141,241,100,58.5,1556,12,11,1,5,4.6,75.3,10,56,3.98,6.5,5.4,4.96,11,222.3,44.2,3,4,0,0,0
