Player,Yds,Start Year,End Year,Tm,HOF
Drew Brees,80358,2001,2020,2TM,1
Peyton Manning,71940,1998,2015,2TM,1
Brett Favre,71838,1991,2010,4TM,1
Dan Marino,61361,1983,1999,mia,1
Eli Manning,57023,2004,2019,nyg,0
John Elway,51475,1983,1998,den,1
Warren Moon,49325,1984,2000,4TM,1
Fran Tarkenton,47003,1961,1978,2TM,1
Carson Palmer,46247,2004,2017,3TM,0
Vinny Testaverde,46233,1987,2007,7TM,0
Drew Bledsoe,44611,1993,2006,3TM,0
Dan Fouts,43040,1973,1987,sdg,1
Kerry Collins,40922,1995,2011,6TM,0
Joe Montana,40551,1979,1994,2TM,1
Johnny Unitas,40239,1956,1973,2TM,1
Dave Krieg,38147,1980,1998,6TM,0
Boomer Esiason,37920,1984,1997,3TM,0
Donovan McNabb,37276,1999,2011,3TM,0
Matt Hasselbeck,36638,1999,2015,4TM,0
Alex Smith,35650,2005,2020,3TM,0
Jim Kelly,35467,1986,1996,buf,1
Jay Cutler,35133,2006,2017,3TM,0
Jim Everett,34837,1986,1997,3TM,0
Jim Hart,34665,1966,1984,2TM,0
Steve DeBerg,34241,1978,1998,6TM,0
Tony Romo,34183,2004,2016,dal,0
John Hadl,33503,1962,1977,4TM,0
Phil Simms,33462,1979,1993,nyg,0
Steve Young,33124,1985,1999,2TM,1
Y.A. Tittle,33070,1948,1964,3TM,1
Troy Aikman,32942,1989,2000,dal,1
Ken Anderson,32838,1971,1986,cin,0
Kurt Warner,32344,1998,2009,3TM,1
Sonny Jurgensen,32224,1957,1974,2TM,1
Mark Brunell,32072,1994,2011,5TM,0
John Brodie,31548,1957,1973,sfo,0
Steve McNair,31304,1995,2007,2TM,0
Norm Snead,30797,1961,1976,5TM,0
Randall Cunningham,29979,1985,2001,4TM,0
Joe Ferguson,29817,1973,1990,4TM,0
Jon Kitna,29745,1997,2011,4TM,0
Roman Gabriel,29444,1962,1977,2TM,0
Jake Plummer,29253,1997,2006,2TM,0
Brad Johnson,29054,1994,2008,4TM,0
Rich Gannon,28743,1987,2004,4TM,0
Len Dawson,28711,1957,1975,3TM,1
Chris Chandler,28484,1988,2004,7TM,0
Trent Green,28475,1997,2008,4TM,0
Ron Jaworski,28190,1974,1989,4TM,0
Terry Bradshaw,27989,1970,1983,pit,1
Ken Stabler,27938,1970,1984,3TM,1
Craig Morton,27908,1965,1982,3TM,0
Joe Namath,27663,1965,1977,2TM,1
Jeff George,27602,1990,2001,5TM,0
George Blanda,26920,1949,1975,4TM,1
Steve Grogan,26886,1975,1990,nwe,0
Bobby Layne,26768,1948,1962,4TM,1
Jim Harbaugh,26288,1987,2000,4TM,0
Jim Plunkett,25882,1971,1986,3TM,0
Jeff Garcia,25537,1999,2009,5TM,0
Matt Schaub,25467,2004,2020,4TM,0
Joe Theismann,25206,1974,1985,was,0
Ken O'Brien,25094,1984,1993,2TM,0
Bob Griese,25092,1967,1980,mia,1
Tommy Kramer,24777,1977,1990,2TM,0
Bart Starr,24718,1956,1971,gnb,1
Charley Johnson,24410,1961,1975,3TM,0
Daunte Culpepper,24153,1999,2009,4TM,0
Steve Bartkowski,24124,1975,1986,2TM,0
Steve Beuerlein,24046,1988,2003,6TM,0
Archie Manning,23911,1971,1984,3TM,0
Brian Sipe,23713,1974,1983,cle,0
Andrew Luck,23671,2012,2018,clt,0
Norm Van Brocklin,23611,1949,1960,2TM,1
Otto Graham,23584,1946,1955,cle,1
Lynn Dickey,23322,1971,1985,2TM,0
Bernie Kosar,23301,1985,1996,3TM,0
Marc Bulger,22814,2002,2009,ram,0
Neil Lomax,22771,1981,1988,crd,0
Roger Staubach,22700,1969,1979,dal,1
Babe Parilli,22681,1952,1969,5TM,0
Michael Vick,22464,2001,2015,4TM,0
Danny White,21959,1976,1988,dal,0
Sammy Baugh,21886,1937,1952,was,1
Jeff Blake,21711,1992,2005,7TM,0
Neil O'Donnell,21690,1991,2003,4TM,0
Bobby Hebert,21683,1985,1996,2TM,0
Gus Frerotte,21291,1994,2008,7TM,0
Jack Kemp,21218,1957,1969,3TM,0
Jim Zorn,21115,1976,1987,3TM,0
Jake Delhomme,20975,1999,2011,4TM,0
Earl Morrall,20809,1956,1976,6TM,0
Richard Todd,20610,1976,1985,2TM,0
Trent Dilfer,20518,1994,2007,5TM,0
Billy Kilmer,20495,1961,1978,3TM,0
Aaron Brooks,20261,2000,2006,2TM,0
Jay Schroeder,20063,1985,1994,4TM,0
Charlie Conerly,19488,1948,1961,nyg,0
Sam Bradford,19449,2010,2018,4TM,0
Brian Griese,19440,1998,2008,4TM,0
Chris Miller,19320,1987,1999,3TM,0
Daryle Lamonica,19154,1963,1974,2TM,0
Tobin Rote,18850,1950,1966,4TM,0
Billy Wade,18530,1954,1966,2TM,0
Dan Pastorini,18515,1971,1983,4TM,0
Mark Rypien,18473,1988,2001,5TM,0
Bert Jones,18190,1973,1982,2TM,0
Jim McMahon,18148,1982,1996,6TM,0
Kyle Orton,18037,2005,2014,5TM,0
Chad Pennington,17823,2000,2010,2TM,0
Josh McCown,17731,2002,2019,9TM,0
Blake Bortles,17649,2014,2019,2TM,0
Milt Plum,17536,1957,1969,4TM,0
Matt Cassel,17508,2005,2018,7TM,0
Wade Wilson,17283,1981,1998,5TM,0
Bill Kenney,17277,1980,1988,kan,0
Don Meredith,17199,1960,1968,dal,0
Stan Humphries,17191,1989,1997,2TM,0
Doug Williams,16998,1978,1989,2TM,0
Elvis Grbac,16774,1994,2001,3TM,0
Jason Campbell,16771,2006,2014,5TM,0
Jeff Hostetler,16430,1985,1997,3TM,0
Rodney Peete,16338,1989,2004,6TM,0
Mike Tomczak,16079,1985,1999,4TM,0
Greg Landry,16052,1968,1984,3TM,0
Frank Ryan,16042,1958,1970,3TM,0
David Garrard,16003,2002,2010,jax,0
Scott Mitchell,15692,1991,2001,4TM,0
Ed Brown,15600,1954,1965,3TM,0
Mark Sanchez,15357,2009,2018,4TM,0
Erik Kramer,15337,1987,1999,4TM,0
Tony Banks,15315,1996,2005,4TM,0
Kordell Stewart,14746,1995,2005,3TM,0
Doug Flutie,14715,1986,2005,4TM,0
Joey Harrington,14693,2002,2007,3TM,0
Sid Luckman,14686,1939,1950,chi,1
David Carr,14452,2002,2012,4TM,0
Bubby Brister,14445,1986,2000,5TM,0
Marc Wilson,14391,1980,1990,2TM,0
Bill Nelsen,14165,1963,1972,2TM,0
Josh Freeman,13873,2009,2015,3TM,0
Gary Danielson,13764,1976,1988,2TM,0
Eddie LeBaron,13399,1952,1963,2TM,0
Bill Munson,12896,1964,1979,5TM,0
Don Majkowski,12700,1987,1996,3TM,0
Colin Kaepernick,12271,2011,2016,sfo,0
Rick Mirer,11969,1993,2003,5TM,0
Tom Flores,11959,1960,1969,3TM,1
Bob Waterfield,11849,1945,1952,ram,1
Jay Fiedler,11844,1995,2005,5TM,0
Cotton Davidson,11760,1954,1968,3TM,0
Vince Ferragamo,11336,1977,1986,3TM,0
Mike Livingston,11295,1968,1979,kan,0
Tony Eason,11142,1983,1990,2TM,0
Tim Couch,11131,1999,2003,cle,0
Charlie Batch,11085,1998,2012,2TM,0
Derek Anderson,10878,2006,2018,4TM,0
Frankie Albert,10795,1946,1952,sfo,0
Billy Joe Tolliver,10760,1989,1999,5TM,0
Eric Hipple,10711,1980,1989,det,0
Byron Leftwich,10532,2003,2012,4TM,0
Mike Phipps,10506,1970,1981,2TM,0
George Ratterman,10473,1947,1956,3TM,0
Steve Bono,10439,1985,1999,7TM,0
Tommy Thompson,10385,1940,1950,2TM,0
Zeke Bratkowski,10345,1954,1971,3TM,0
Frank Tripucka,10282,1949,1963,4TM,0
Dave Brown,10248,1992,2001,2TM,0
Jack Trudeau,10243,1986,1995,3TM,0
Rex Grossman,10232,2003,2011,3TM,0
Mark Malone,10175,1980,1989,3TM,0
Vince Evans,9485,1977,1995,2TM,0
Bobby Thomason,9480,1949,1957,3TM,0
Lamar McHan,9449,1954,1963,4TM,0
Gary Hogeboom,9436,1980,1989,3TM,0
Mike Pagel,9414,1982,1993,3TM,0
Pat Haden,9296,1976,1981,ram,0
Robert Griffin III,9271,2012,2020,3TM,0
Bob Berry,9197,1965,1975,2TM,0
Vince Young,8964,2006,2011,2TM,0
Kyle Boller,8931,2003,2011,3TM,0
John Friesz,8699,1990,2000,4TM,0
Jim Finks,8622,1949,1955,pit,1
David Woodley,8558,1980,1985,2TM,0
Rudy Bukich,8433,1953,1968,4TM,0
Randy Johnson,8329,1966,1976,4TM,0
Shaun Hill,8295,2005,2016,4TM,0
Pete Beathard,8176,1964,1973,4TM,0
James Harris,8136,1969,1979,3TM,0
Tommy Maddox,8087,1992,2005,4TM,0
Arnie Herber,8041,1930,1945,2TM,1
Steve Walsh,7875,1989,1999,6TM,0
Kent Graham,7801,1992,2001,4TM,0
Al Dorow,7708,1954,1962,4TM,0
Craig Erickson,7625,1992,1997,3TM,0
Matt Moore,7597,2007,2019,3TM,0
