Daunte Culpepper
Steve Beuerlein
Kurt Warner
Kerry Collins
Jake Plummer
Gary Danielson
Richard Todd
Mike Livingston
Bert Jones
Milt Plum
Joe Ferguson
Greg Landry
Sam Bradford
Neil Lomax
Frank Tripucka
Brett Favre
Marc Wilson
Trent Green
John Friesz
Mike Phipps
Gus Frerotte
Charlie Batch
Phil Simms
Zeke Bratkowski
Randy Johnson
Elvis Grbac
Babe Parilli
Norm Snead
Doug Flutie
Jim Everett
Blake Bortles
David Garrard
Stan Humphries
Dan Fouts
Al Dorow
Cotton Davidson
Warren Moon
Steve Young
Aaron Brooks
Eli Manning
Sonny Jurgensen
Tobin Rote
Bob Waterfield
Billy Wade
Mike Pagel
Drew Bledsoe
Rodney Peete
Bubby Brister
Drew Brees
Don Majkowski
Andrew Luck
Charlie Conerly
Bart Starr
Len Dawson
Frankie Albert
Y.A. Tittle
Roman Gabriel
Rick Mirer
Tom Flores
John Hadl
Jim Hart
Eddie LeBaron
Sammy Baugh
Michael Vick
Bobby Hebert
Jon Kitna
Bill Kenney
Jack Kemp
Roger Staubach
Pete Beathard
Byron Leftwich
Ron Jaworski
Jay Schroeder
Colin Kaepernick
Kyle Boller
Ken O'Brien
Lynn Dickey
Mark Brunell
Rich Gannon
Bill Munson
Jay Fiedler
Bob Griese
Kent Graham
Scott Mitchell
Kordell Stewart
Jim McMahon
George Blanda
John Elway
Erik Kramer
Lamar McHan
Dan Marino
Vince Young
Ken Stabler
Danny White
John Brodie
Fran Tarkenton
Matt Cassel
Trent Dilfer
Neil O'Donnell
Jack Trudeau
Gary Hogeboom
Earl Morrall
Carson Palmer
Joe Montana
Matt Schaub
Mark Malone
David Carr
Donovan McNabb
Otto Graham
Dave Brown
Bill Nelsen
Eric Hipple
Pat Haden
Tommy Kramer
Steve Grogan
Josh McCown
Craig Morton
Steve Walsh
Jeff Garcia
Terry Bradshaw
Jake Delhomme
Jay Cutler
Jim Plunkett
Shaun Hill
Joey Harrington
Randall Cunningham
Steve Bono
Jim Finks
Peyton Manning
Jeff George
Tim Couch
Sid Luckman
Derek Anderson
Mark Rypien
Daryle Lamonica
Jason Campbell
Jim Zorn
Bernie Kosar
Frank Ryan
Craig Erickson
Jim Kelly
Norm Van Brocklin
Kyle Orton
Johnny Unitas
Billy Kilmer
Tommy Maddox
Dan Pastorini
